id_estomago,nome_popular,especie_predador,genero_predador,localidade,trecho_rio,periodo_hidrologico,mes,ano,comprimento_padrao_cm,peso_g,grau_replecao,volume_total_original_pct,volume_reescalonado_100,volume_peixe_nao_identificado_pct,volume_restos_peixe_pct,volume_ordens_peixes_pct,volume_familias_peixes_pct,volume_peixes_identificados_pct,volume_invertebrados_pct,volume_total_dieta_pct,riqueza_itens_alimentares,item_dominante_original,volume_item_dominante_pct,dieta_mista
BM033,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,113.0,18000.0,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM034,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,87.0,6000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Triportheus angulatus,100.0,False
BM035,barbachata,Pinirampus pirinampu,Pinirampus,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,julho,2009,41.0,1309.0,2,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Myleinae,100.0,False
BM036,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,Calama,downriver Santo Antonio rapid,vazante_seca,setembro,2009,83.0,9000.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Bryconops alburnoides,100.0,False
BM037,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,Calama,downriver Santo Antonio rapid,vazante_seca,setembro,2009,78.0,6000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3,Triportheus  spp.,40.0,True
BM038,caparari,Pseudoplatystoma tigrinum,Pseudoplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,outubro,2009,88.0,8000.0,3,100.0,False,0.0,0.0,50.0,0.0,50.0,0.0,100.0,2,Characiformes,50.0,True
BM039,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,Jaciparaná,between Santo Antonio and Jirau rapids,vazante_seca,agosto,2009,69.0,3500.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Hoplosternum littorale,100.0,False
BM040,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,maio,2009,71.0,4000.0,1,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Characiformes,100.0,False
BM041,barbachata,Pinirampus pirinampu,Pinirampus,São Carlos,downriver Santo Antonio rapid,vazante_seca,outubro,2009,44.0,2000.0,3,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Characiformes,100.0,False
BM042,babao,Brachyplatystoma platynemum,Brachyplatystoma,Calama,downriver Santo Antonio rapid,cheia,novembro,2009,43.0,480.0,1,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Characiformes,100.0,False
BM043,surubim,Pseudoplatystoma punctifer,Pseudoplatystoma,Jaciparaná,between Santo Antonio and Jirau rapids,vazante_seca,agosto,2009,69.0,5000.0,3,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Tetragonopterinae,100.0,False
