PIT,tank,Hg,temperature,tempfac,ration,rationfac,day00massg,day30massg,growth_spe,growth_abs,conv_eff,growth_abs_tnk_rnk,temperature_s,ration_s,growth_abs_s,growth_spe_s
9365,7,93.15,22,22,0.09586666666666667,Low,24.4,21.6,-0.4063,-2.8,0.3,10,1.1258979578391801,-0.4506772768399086,-0.9611689388232827,-0.967771328987515
9203,8,71.95,22,22,0.0904,Low,27.2,34.4,0.7828,7.2,0.36,1,1.1258979578391801,-0.49927137243676545,0.42191975245031726,0.23449314217563116
9565,8,88.31,22,22,0.0904,Low,15.3,20.4,0.95894,5.1,0.36,2,1.1258979578391801,-0.49927137243676545,0.1314711272828612,0.41258317997789884
9186,8,78.45,22,22,0.0904,Low,14.4,17.7,0.68779,3.3,0.36,3,1.1258979578391801,-0.49927137243676545,-0.11748483714638677,0.1384312908551278
3805,8,87.34,22,22,0.0904,Low,25.3,28.1,0.34988,2.8,0.36,4,1.1258979578391801,-0.49927137243676545,-0.18663927171006678,-0.20321969514330687
9458,8,83.78,22,22,0.0904,Low,16.7,19.4,0.49955,2.7,0.36,5,1.1258979578391801,-0.49927137243676545,-0.2004701586228027,-0.051892705488115524
9223,8,112.54,22,22,0.0904,Low,24.5,25.4,0.12025,0.9,0.36,6,1.1258979578391801,-0.49927137243676545,-0.44942612305205076,-0.4353919182643171
3795,8,97.21,22,22,0.0904,Low,21.6,19.3,-0.37529,-2.3,0.36,7,1.1258979578391801,-0.49927137243676545,-0.8920145042596027,-0.9364180187101883
3738,8,107.22,22,22,0.0904,Low,21.4,18.2,-0.5399,-3.2,0.36,8,1.1258979578391801,-0.49927137243676545,-1.0164924864742266,-1.1028504084151463
9388,8,115.54,22,22,0.0904,Low,19.3,16.1,-0.60429,-3.2,0.36,9,1.1258979578391801,-0.49927137243676545,-1.0164924864742266,-1.1679532671303046
9236,8,98.79,22,22,0.0904,Low,15.9,12.3,-0.85573,-3.6,0.36,10,1.1258979578391801,-0.49927137243676545,-1.0718160341251706,-1.422176947753685
3758,9,106.79,22,22,0,Zero,12.3,10.2,-0.62404,-2.1,NA,1,1.1258979578391801,-1.3028517825506405,-0.8643527304341306,-1.1879219184678476
9576,9,122.15,22,22,0,Zero,14,11.7,-0.59823,-2.3,NA,2,1.1258979578391801,-1.3028517825506405,-0.8920145042596027,-1.161826177150279
9210,9,101.28,22,22,0,Zero,17.5,14.8,-0.55858,-2.7,NA,3,1.1258979578391801,-1.3028517825506405,-0.9473380519105468,-1.121737213832123
9120,9,102.42,22,22,0,Zero,20.8,17.9,-0.50051,-2.9,NA,4,1.1258979578391801,-1.3028517825506405,-0.9749998257360187,-1.0630243235449786
9456,9,112.19,22,22,0,Zero,20.2,17.3,-0.51659,-2.9,NA,5,1.1258979578391801,-1.3028517825506405,-0.9749998257360187,-1.0792823444820767
3780,9,108.73,22,22,0,Zero,20.3,17.3,-0.53305,-3,NA,6,1.1258979578391801,-1.3028517825506405,-0.9888307126487547,-1.0959245723816187
9191,9,106.48,22,22,0,Zero,19,15.7,-0.63593,-3.3,NA,7,1.1258979578391801,-1.3028517825506405,-1.0303233733869628,-1.199943552108525
9164,9,101.19,22,22,0,Zero,23.8,20.4,-0.51384,-3.4,NA,8,1.1258979578391801,-1.3028517825506405,-1.0441542602996987,-1.0765018993591275
9138,9,106.99,22,22,0,Zero,20.9,16.9,-0.70812,-4,NA,9,1.1258979578391801,-1.3028517825506405,-1.1271395817761147,-1.2729327642633206
9121,9,109.45,22,22,0,Zero,26.7,22.1,-0.63029,-4.6,NA,10,1.1258979578391801,-1.3028517825506405,-1.2101249032525307,-1.1942411119290952
9364,10,103.45,15,15,0,Zero,17.8,15.9,-0.37626,-1.9,NA,1,-0.8782004071145604,-1.3028517825506405,-0.8366909566086588,-0.9373987575353739
9370,10,129.3,15,15,0,Zero,16.2,14.1,-0.46279,-2.1,NA,2,-0.8782004071145604,-1.3028517825506405,-0.8643527304341306,-1.0248867271676563
9346,10,97.17,15,15,0,Zero,28.8,26.6,-0.26488,-2.2,NA,3,-0.8782004071145604,-1.3028517825506405,-0.8781836173468668,-0.8247856747011705
9172,10,112.75,15,15,0,Zero,19.1,16.6,-0.46762,-2.5,NA,4,-0.8782004071145604,-1.3028517825506405,-0.9196762780850747,-1.0297701998745084
9457,10,101.39,15,15,0,Zero,22.7,19.9,-0.43882,-2.8,NA,5,-0.8782004071145604,-1.3028517825506405,-0.9611689388232827,-1.000651356405079
9152,10,95.74,15,15,0,Zero,22.1,19.3,-0.45158,-2.8,NA,6,-0.8782004071145604,-1.3028517825506405,-0.9611689388232827,-1.0135526217755624
3873,10,102.7,15,15,0,Zero,22.6,19.7,-0.45777,-2.9,NA,7,-0.8782004071145604,-1.3028517825506405,-0.9749998257360187,-1.0198111509795822
9408,10,90.59,15,15,0,Zero,23.6,20.6,-0.45319,-3,NA,8,-0.8782004071145604,-1.3028517825506405,-0.9888307126487547,-1.0151804460111797
9318,10,97.86,15,15,0,Zero,26.6,22.4,-0.57283,-4.2,NA,9,-0.8782004071145604,-1.3028517825506405,-1.1548013556015868,-1.136144974923768
3869,10,98.38,15,15,0,Zero,27.4,23.2,-0.55464,-4.2,NA,10,-0.8782004071145604,-1.3028517825506405,-1.1548013556015868,-1.1177535942741528
